name,alexa_rank,city,state,country,hq,website,employees_on_linkedin,followers,founded,industry,linkedin_url,overview,ownership_type,sic_codes,size,specialties,total_funding,technologies,company_hubs,events,categories,type
QualityStorm,,Londrina,State of Paraná,Brazil,"Londrina, PR",https://www.qualitystorm.com,4,316,2016,Information Technology and Services,https://www.linkedin.com/company/qualitystorm,"O QualityStorm é uma solução voltada para a digitalização dos processos de inspeção em diferentes áreas da empresa. Com o QualityStorm é possível aumentar a produtividade na execução de processos, reduzir custos de operação e qualidade, bem como ganhar eficiência no acompanhamento operacional.",Privately Held,,2-10 employees,"Software as a Service, Mobile Apps, KPIs, Indústria 4.0, Garantia de Qualidade, and Cloud Computing, Execução da Qualidade, Qualidade Industrial",0,"Amazon S3, HubSpot, Hubspot Form Builder",,,"Telecommunications, Information and Communications Technology (ICT), SaaS, , Cloud Computing",B2B
Axeleo Capital,,Lyon,Auvergne-Rhône-Alpes,France,"Lyon, Auvergne-Rhone-Alpes, FR",http://axeleo.com/vc,10,2394,2017,Venture Capital & Private Equity,https://www.linkedin.com/company/axeleo-capital,"Axeleo Capital is the 1st acceleration fund dedicated to Entreprise Technology and B2B Tech startups.

We are convinced that combining acceleration throught intensive hands-on work and funding for seed startups is the best way to de-risk them and lead them to success.

Send us your deck >>> apply@axeleo.com

With €80M under management, Axeleo Capital provides investment to support startups during and beyond their business acceleration. Axeleo Capital is registered and regulated by the Autorité des Marchés Financiers (“AMF”) - French Securities Regulator.

We invest in seed tech startups across Europe with Axeleo Capital 1 in B2B software and with Axeleo Proptech 1 in Proptech / Contech.",Partnership,,11-50 employees,"VC, Venture Capital, VC Fund, Enterprise Technology,  Software, Software, SaaS,  SaaS, Entrepreneurship, funding, proptech",0,,,,"Information Technology, Software, Venture Capital, Enterprise Software, SaaS,",B2B
Beijing Join-Cheer Software Co.,747146,,,,"BEIJING, BJ | Beijing",http://www.jiuqi.com.cn,276,445,,Information Technology and Services,https://www.linkedin.com/company/beijing-join-cheer-software-co-ltd-,"Beijing Join-Cheer Software is a information technology and services company based out of BEIJING. Beijing Join-Cheer Software representatives, don’t miss out on opportunities to build relationships with members on LinkedIn. Claim your page, write a simple description, and share content to attract followers that can lead to new customers, brand fans, and future employees. Go here to get started: http://linkd.in/1DUpBvu",Public Company,,0-1 employees,,0,Java,,,"Software,",B2B
Telleroo,,London,England,United Kingdom,"London, London",https://www.telleroo.com/,9,226,2016,Financial Services,https://www.linkedin.com/company/telleroo,"Telleroo is a web-based banking system, where finance teams can make same-day bulk payments to handle all outgoing payments of the business without the need for complex Corporate Banking Services.

Our aim is to make sending payments for businesses easy and instant.

Telleroo is designed for small to medium sized companies making payments to more than 50 payees per month. Our simple payment process doesn't require any training, yet giving you enough controls making sure no mistakes happen. The system plugs in directly into the Faster Payments scheme, making all payments go out immediately, 24/7 including bank holidays and weekends.

Telleroo removes the need for clunky Corporate Banking Services that otherwise require hours of training for your staff, and we also make sending same-day payments much more cost-efficient than banks.

We are trusted by leading businesses in the UK including GoCardless, Hastee, Wex Photo Video, and In the Style.",Privately Held,,2-10 employees,"Business Payments, Bulk Payments, and Faster Payments",495000,"Intercom, New Relic, LinkedIn Ads, Google AdWords, Zoom",,,"Software, Financial Services, Finance, FinTech, , Payments",B2B
Triumph Consulting Solutions,,Rancho Cucamonga,California,United States,"Rancho Cucamonga, California",https://www.triumphconsultingsolutions.com/,3,14,2018,Marketing and Advertising,https://www.linkedin.com/company/triumph-consulting-solutions,"Triumph Consulting Solutions represents leading telecommunication providers by employing a relationship-based marketing and sales approach. We use face-to-face sales methods that personalize our clients' brand, improve their name recognition, and reach tougher-to-contact clientele. 

How has Triumph Consulting Solutions created a niche as a dominant marketing and sales firm? For our clients, we commit to exceeding targets and expectations while upholding our company standards and values. We focus on bringing our client’s long-term, ""sticky"" customers that will create a real impact instead of merely obtaining a sale. Since we’ve been open, we've succeeded not only in hitting our company goals but knocking them out of the park, and we have no intentions of slowing down.

When Triumph Consulting Solutions opened, we had one goal in mind: be the best, make a difference, and foster innovation. At our organization, every team member holds in their own hands their destiny by receiving promotions strictly on merit and one’s ability to add value to others. True leaders know not only how to do but also how to teach, train, and lead others. No leader in Triumph Consulting Solutions is in a leadership position because of their experience at another firm or because of favoritism; it is all directly linked to the impact they have on our company.

As Jordan Belfort says, “Successful people are 100% convinced that they are masters of their own destiny, they’re not creatures of circumstance, they create circumstance.” At Triumph Consulting Solutions, we want to create a circumstance that allows our firm to expand into at least 2 new markets over the next year and continue to offer an opportunity for team members to grow and expand into managerial roles. 

Our standards are high and goals are higher! To learn more about Triumph Consulting Solutions, please visit our website at https://www.triumphconsultingsolutions.com!",Privately Held,,11-50 employees,"Sales, Consulting, Customer Acquisition, Marketing, , Business",0,,,,"Consulting, Marketing, Sales,",B2B
广州市一呼百应网络技术股份有限公司,16042,Shanwei,Guangdong Province,China,"汕尾市, 广东省",http://youboy.com,62,10,,Research,https://www.linkedin.com/company/广州市一呼百应网络技术股份有限公司,"广州市一呼百应网络技术股份有限公司 is a research company based out of 广州市萝岗区彩频路6号U型楼整栋, 汕尾市, 广东省, China.",,,,,0,,,,"Business Development, Search Engine,",B2B
De Cara Nova Decor,,São Paulo,State of São Paulo,Brazil,"São Paulo, SP, Brazil",http://www.decaranovadecor.com.br,0,9,2018,Architecture & Planning,https://www.linkedin.com/company/de-cara-nova-decor,"Tornamos o morar bem acessível a todos! Repaginamos espaços de forma fácil, legal e com custo baixo, focando no reaproveitamento e sem quebra-quebra.  :)",Partnership,,2-10 employees,"design de interiores, arquitetura, decoração, revenda de móveis",0,,,,"Construction, Consumer, , , Architecture",B2B B2C
Meraki Gastronomia,,João Pessoa,State of Paraíba,Brazil,"João Pessoa, Paraíba",http://www.merakigastronomia.com.br,2,21,2016,Food & Beverages,https://www.linkedin.com/company/merakigastronomia,"Idealizado por uma nutricionista especialista em gastronomia funcional, o Meraki  é uma industria de congelados saudáveis. Fabricando refeições, salgados e sopas congeladas.
Atuamos em João Pessoa, Campina Grande e Natal-RN.",Privately Held,,2-10 employees,"Congelados saudáveis, alimentos funcionais, alimentos congelados, and Saúde e Nutrição",0,,,,"Wellness, , Nutrition, , Personal Health",B2B B2C
Eightwire,,Wellington,Wellington,New Zealand,Wellington,https://www.eight-wire.com,8,290,2013,Information Technology and Services,https://www.linkedin.com/company/eight-wire-limited,"Data integration made easy.

Managing the movement of data is always difficult. Moving data between files, databases or the cloud is like moving through a minefield of technical issues that can easily take weeks to resolve. Regardless of the underlying technology, if something changes unexpectedly, the entire system crashes, or budgets are blown.

Eight Wire’s Conductor makes data integration simple, automating the majority of the effort, massively reducing costs and fixing data errors as it goes. It integrates with all major data storage platforms, and data is encrypted from source to destination.

Conductor makes moving to the cloud easy and efficient. Rather than installing complex software and relying on external consultants, businesses can take control of their budget and move their data to the cloud in mere minutes.

www.eight-wire.com",Public Company,,11-50 employees,"SaaS, Data Management, Cloud Application, Integration Service",0,Next.js,,,"Information Technology, Software, Analytics, SaaS, , Data Integration",B2B
GoBambino,,New York,New York,United States,New York,https://gobambino.com,3,60,2017,Internet,https://www.linkedin.com/company/bambinofamilia,"Families of NYC can now book drop-ins, camps, and semester classes on the GoBambino APP. No subscription fees, no commitment. Find what's right for you and your kids and GO!

We are currently building a strong community of kid activity providers that offer fun and educational activities for kids of all ages. 

GoBambino APP is an easy to use discovery tool which can be used to book activities on the fly or plan ahead. ",Privately Held,,2-10 employees,"community, mobile app, discovery, small business tools, app, ios, family, parenting, events, children, kid, baby, infant, toddler, teenager, parent, activity, camps, classes, activities, classes",0,"HubSpot, MailChimp, WooCommerce, SparkPost",,,"Mobile Apps, Marketplace, Apps, iOS, Education, Children, Android, , Family, Web Apps",B2B
